customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,total_charges,churn,avg_monthly_value,expected_annual_value
1,7,38.64,2,Month-to-month,Bank transfer,284.2,1,35.525,426.29999999999995
2,55,45.47,2,One year,Credit card,2423.15,0,43.270535714285714,519.2464285714286
3,47,36.67,2,Month-to-month,Credit card,1736.12,0,36.16916666666666,434.03
4,32,62.78,1,One year,Bank transfer,2006.67,1,60.80818181818182,729.6981818181819
5,31,85.16,2,One year,Bank transfer,2646.46,1,82.701875,992.4225
6,61,35.11,1,Month-to-month,Credit card,2143.49,0,34.57241935483871,414.8690322580645
7,7,46.38,2,Month-to-month,Bank transfer,337.62,1,42.2025,506.43
8,50,112.34,3,Month-to-month,Bank transfer,5683.87,1,111.44843137254902,1337.3811764705883
9,15,15.34,2,One year,Bank transfer,171.12,0,10.695,128.34
10,7,60.68,1,Month-to-month,Credit card,407.65,1,50.95625,611.4749999999999
11,38,88.27,2,Two year,Credit card,3387.59,0,86.86128205128206,1042.3353846153848
12,70,26.55,0,Month-to-month,Mailed check,1882.55,0,26.514788732394365,318.1774647887324
13,53,15.21,1,One year,Bank transfer,829.1,0,15.353703703703705,184.24444444444447
14,55,25.2,0,Month-to-month,Credit card,1523.68,1,27.208571428571428,326.5028571428571
15,51,111.07,0,Month-to-month,Mailed check,5695.28,1,109.52461538461537,1314.2953846153846
16,56,11.02,2,Month-to-month,Credit card,673.67,1,11.81877192982456,141.8252631578947
17,37,30.72,0,Month-to-month,Bank transfer,1121.29,0,29.507631578947368,354.0915789473684
18,10,13.44,3,Two year,Bank transfer,84.75,0,7.704545454545454,92.45454545454545
19,60,22.17,0,Month-to-month,Mailed check,1314.48,0,21.548852459016395,258.58622950819677
20,32,78.22,0,Month-to-month,Mailed check,2538.64,1,76.92848484848484,923.141818181818
21,36,36.58,1,Month-to-month,Credit card,1337.22,0,36.14108108108108,433.692972972973
22,27,72.61,0,Month-to-month,Bank transfer,1980.63,0,70.73678571428572,848.8414285714287
23,13,74.92,3,Two year,Credit card,963.24,1,68.80285714285715,825.6342857142859
24,66,103.44,1,Two year,Bank transfer,6808.35,1,101.61716417910448,1219.4059701492538
25,56,10.52,1,Two year,Bank transfer,580.13,0,10.177719298245615,122.13263157894738
26,46,103.87,1,Month-to-month,Credit card,4814.24,1,102.43063829787233,1229.167659574468
27,29,78.1,2,Month-to-month,Credit card,2306.94,1,76.898,922.776
28,59,27.9,1,One year,Credit card,1595.79,0,26.5965,319.158
29,39,95.02,1,Month-to-month,Credit card,3743.9,1,93.5975,1123.17
30,32,104.1,0,One year,Credit card,3298.66,0,99.95939393939393,1199.5127272727273
31,32,37.97,3,Month-to-month,Mailed check,1238.49,1,37.53,450.36
32,17,111.07,0,Month-to-month,Bank transfer,1878.59,1,104.36611111111111,1252.3933333333334
33,7,59.99,1,Two year,Bank transfer,498.22,1,62.2775,747.33
34,40,76.38,0,Month-to-month,Mailed check,3034.3,0,74.00731707317074,888.0878048780489
35,64,118.31,1,Two year,Bank transfer,7580.77,1,116.62723076923078,1399.5267692307693
36,5,49.77,0,Month-to-month,Credit card,279.18,1,46.53,558.36
37,61,99.45,1,Month-to-month,Mailed check,6022.75,0,97.14112903225806,1165.6935483870968
38,59,45.02,1,Month-to-month,Bank transfer,2652.54,1,44.208999999999996,530.5079999999999
39,20,97.91,1,Month-to-month,Bank transfer,1944.87,0,92.61285714285714,1111.3542857142857
40,45,76.08,1,Month-to-month,Mailed check,3397.91,0,73.86760869565217,886.411304347826
41,12,33.8,2,Month-to-month,Bank transfer,383.61,0,29.50846153846154,354.10153846153844
42,54,55.54,0,One year,Bank transfer,3054.76,0,55.54109090909091,666.4930909090909
43,50,44.94,0,Two year,Mailed check,2217.07,0,43.47196078431373,521.6635294117648
44,26,18.59,0,Month-to-month,Bank transfer,511.66,1,18.950370370370372,227.40444444444447
45,5,13.28,1,Month-to-month,Mailed check,82.13,0,13.688333333333333,164.26
46,69,48.11,1,Month-to-month,Credit card,3249.74,0,46.42485714285714,557.0982857142857
47,32,12.09,2,One year,Credit card,412.84,0,12.51030303030303,150.12363636363636
48,64,28.2,0,Month-to-month,Bank transfer,1734.12,0,26.67876923076923,320.14523076923075
49,49,89.77,0,Month-to-month,Credit card,4430.13,0,88.6026,1063.2312
50,56,87.89,1,Month-to-month,Mailed check,4896.48,0,85.90315789473684,1030.837894736842
51,54,91.24,1,Month-to-month,Credit card,4927.38,1,89.58872727272727,1075.0647272727272
52,14,44.89,2,Month-to-month,Bank transfer,563.75,1,37.583333333333336,451.0
53,26,107.9,1,Month-to-month,Credit card,2811.52,1,104.13037037037037,1249.5644444444445
54,34,75.32,1,Two year,Mailed check,2607.23,0,74.49228571428571,893.9074285714286
55,36,23.86,2,Month-to-month,Credit card,818.61,1,22.124594594594594,265.4951351351351
56,4,25.81,1,Month-to-month,Credit card,72.88,0,14.575999999999999,174.91199999999998
57,39,86.24,1,Month-to-month,Credit card,3386.09,0,84.65225000000001,1015.8270000000001
58,11,29.02,1,Month-to-month,Bank transfer,343.2,0,28.599999999999998,343.2
59,53,65.8,1,Month-to-month,Mailed check,3365.69,0,62.327592592592595,747.9311111111111
60,49,119.1,0,Month-to-month,Mailed check,5936.67,0,118.7334,1424.8008
61,66,10.44,1,Month-to-month,Credit card,715.47,1,10.67865671641791,128.1438805970149
62,53,11.82,2,One year,Bank transfer,661.31,1,12.24648148148148,146.95777777777775
63,27,119.24,2,Month-to-month,Credit card,3212.3,1,114.72500000000001,1376.7
64,69,74.31,0,Two year,Bank transfer,5034.62,0,71.92314285714285,863.0777142857141
65,30,23.96,0,Month-to-month,Bank transfer,752.54,0,24.27548387096774,291.30580645161285
66,24,108.7,0,Month-to-month,Credit card,2580.54,1,103.2216,1238.6592
