customer_id,tenure_months,monthly_charges,support_tickets,contract_type,payment_method,total_charges,churn,avg_monthly_value,expected_annual_value,churn_risk,priority_score
100,10,115.77,3,Month-to-month,Credit card,1261.88,1,114.71636363636365,1376.5963636363638,0.8620259128698804,1186.6617370169943
1239,22,118.6,3,Month-to-month,Credit card,2701.75,1,117.46739130434783,1409.608695652174,0.8355378498077582,1177.781418635536
231,33,118.75,4,Month-to-month,Bank transfer,3827.9,1,112.58529411764707,1351.0235294117647,0.8619915087762263,1164.5708105098295
869,32,119.35,3,Month-to-month,Mailed check,3817.56,1,115.68363636363637,1388.2036363636364,0.8237284200016193,1143.5027880223206
335,33,117.6,3,Month-to-month,Bank transfer,3870.66,1,113.84294117647059,1366.115294117647,0.8120712975410456,1109.3830194847847
88,23,118.18,3,Month-to-month,Credit card,2637.97,1,109.91541666666666,1318.985,0.8374242915186535,1104.5500791487311
1415,42,106.74,5,Month-to-month,Bank transfer,4628.02,1,107.62837209302326,1291.5404651162792,0.853228777049841,1101.9794915615457
380,19,119.12,2,Month-to-month,Credit card,2275.82,0,113.79100000000001,1365.4920000000002,0.799447824875867,1091.6396092853975
634,27,119.29,2,Month-to-month,Mailed check,3158.94,1,112.81928571428571,1353.8314285714287,0.7899128732459636,1069.4088736335448
773,1,107.11,1,Month-to-month,Mailed check,227.48,1,113.74,1364.8799999999999,0.7806319530514015,1065.4689400807968
63,27,119.24,2,Month-to-month,Credit card,3212.3,1,114.72500000000001,1376.7,0.770875107838798,1061.2637609616731
187,12,113.57,2,Month-to-month,Bank transfer,1401.21,1,107.78538461538461,1293.4246153846154,0.8196614443280792,1060.1702883756443
273,11,119.1,1,Month-to-month,Bank transfer,1346.67,1,112.22250000000001,1346.67,0.7838634505830285,1055.6053929966472
1294,1,112.21,0,Month-to-month,Credit card,247.31,1,123.655,1483.8600000000001,0.7078486921825311,1050.3483603819707
664,15,113.77,2,Month-to-month,Credit card,1751.25,1,109.453125,1313.4375,0.7988377106013931,1049.2234055180172
585,29,115.99,2,Month-to-month,Bank transfer,3403.82,0,113.46066666666667,1361.528,0.764667046790476,1041.1155948825433
510,17,119.63,1,Month-to-month,Mailed check,2008.44,1,111.58,1338.96,0.7702614381422558,1031.3492552149548
1124,18,118.36,1,Month-to-month,Mailed check,2144.15,1,112.85000000000001,1354.2,0.7604608429040278,1029.8160734606345
1432,14,116.44,1,Month-to-month,Bank transfer,1659.11,1,110.60733333333333,1327.288,0.7648489054328445,1015.1747739941493
635,13,115.46,1,Month-to-month,Credit card,1536.54,1,109.75285714285714,1317.0342857142857,0.753470781804294,992.3468529202029
